Data,Categoria,Produto,Quantidade,Valor
2026-01-05,Eletrônicos,Notebook,2,5000
2026-01-10,Eletrônicos,Mouse,10,500
2026-01-15,Móveis,Cadeira,5,1500
2026-02-03,Eletrônicos,Teclado,8,800
2026-02-12,Móveis,Mesa,3,2100
2026-02-20,Vestuário,Camisa,20,1200
2026-03-04,Eletrônicos,Notebook,1,2500
2026-03-11,Móveis,Cadeira,7,2100
2026-03-18,Vestuário,Calça,10,1800
2026-04-02,Eletrônicos,Monitor,4,2400
2026-04-15,Vestuário,Camisa,15,900
2026-05-05,Móveis,Mesa,5,3500
2026-05-17,Eletrônicos,Mouse,20,1000
2026-06-08,Vestuário,Calça,12,2160
2026-06-22,Móveis,Cadeira,10,3000
